<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	2624.81	2625.63	2623.35	2623.60	914	0	22
2025.01.02	01:30:00	2623.62	2624.36	2621.57	2623.66	881	0	15
2025.01.02	02:00:00	2623.66	2626.49	2622.69	2626.32	1304	0	18
2025.01.02	02:30:00	2626.35	2627.90	2625.35	2625.41	1575	0	19
2025.01.02	03:00:00	2625.44	2632.93	2623.77	2632.56	6555	0	16
2025.01.02	03:30:00	2632.51	2634.42	2631.61	2632.99	5205	0	15
2025.01.02	04:00:00	2632.99	2636.49	2632.56	2635.57	3904	0	15
2025.01.02	04:30:00	2635.57	2635.77	2632.29	2634.74	6184	0	15
2025.01.02	05:00:00	2634.68	2635.36	2632.94	2633.41	5465	0	17
2025.01.02	05:30:00	2633.38	2634.23	2632.22	2633.57	3050	0	15
2025.01.02	06:00:00	2633.58	2633.63	2632.05	2632.39	1536	0	15
2025.01.02	06:30:00	2632.37	2634.22	2631.06	2633.98	2407	0	15
2025.01.02	07:00:00	2634.01	2635.33	2633.10	2634.90	2802	0	15
2025.01.02	07:30:00	2634.89	2636.43	2633.96	2634.05	4296	0	15
2025.01.02	08:00:00	2634.12	2634.43	2631.26	2634.26	3345	0	15
2025.01.02	08:30:00	2634.25	2635.37	2633.43	2634.14	3142	0	15
2025.01.02	09:00:00	2634.13	2635.91	2633.46	2634.31	4195	0	15
2025.01.02	09:30:00	2634.34	2635.99	2633.02	2635.98	2994	0	15
2025.01.02	10:00:00	2636.02	2637.02	2631.32	2633.30	4483	0	15
2025.01.02	10:30:00	2633.30	2637.75	2631.03	2636.48	3188	0	15
2025.01.02	11:00:00	2636.47	2639.92	2636.47	2637.48	4414	0	15
2025.01.02	11:30:00	2637.49	2638.39	2635.99	2636.08	4181	0	15
2025.01.02	12:00:00	2636.06	2646.33	2632.72	2644.87	5199	0	15
2025.01.02	12:30:00	2644.77	2645.71	2640.43	2642.71	5208	0	15
2025.01.02	13:00:00	2642.70	2644.57	2640.62	2641.75	3179	0	15
2025.01.02	13:30:00	2641.75	2642.71	2640.26	2642.04	3119	0	15
2025.01.02	14:00:00	2641.99	2643.23	2640.31	2642.78	3710	0	15
2025.01.02	14:30:00	2642.78	2646.49	2642.21	2643.35	5777	0	15
2025.01.02	15:00:00	2643.33	2643.33	2636.10	2640.91	8650	0	15
2025.01.02	15:30:00	2640.83	2647.27	2636.91	2643.03	8754	0	15
2025.01.02	16:00:00	2642.92	2649.13	2640.33	2646.32	9583	0	15
2025.01.02	16:30:00	2646.31	2651.13	2646.29	2647.73	10915	0	15
2025.01.02	17:00:00	2647.63	2649.66	2645.18	2648.72	10729	0	15
2025.01.02	17:30:00	2648.72	2655.91	2648.31	2654.08	9563	0	15
2025.01.02	18:00:00	2654.08	2657.96	2649.97	2656.72	10289	0	15
2025.01.02	18:30:00	2656.72	2660.33	2654.83	2659.23	6275	0	15
2025.01.02	19:00:00	2659.23	2660.42	2655.91	2656.28	4616	0	15
2025.01.02	19:30:00	2656.36	2656.71	2652.51	2656.51	5330	0	15
2025.01.02	20:00:00	2656.52	2658.87	2654.96	2654.96	4536	0	15
2025.01.02	20:30:00	2654.98	2656.13	2653.81	2655.46	3766	0	15
2025.01.02	21:00:00	2655.46	2656.11	2653.72	2655.52	4206	0	15
2025.01.02	21:30:00	2655.50	2657.10	2654.36	2654.70	4013	0	15
2025.01.02	22:00:00	2654.70	2660.43	2654.14	2659.92	4546	0	15
2025.01.02	22:30:00	2659.79	2660.41	2658.69	2659.59	3981	0	15
2025.01.02	23:00:00	2659.61	2660.13	2657.79	2658.13	950	0	15
2025.01.02	23:30:00	2658.08	2658.39	2656.50	2657.39	759	0	15
2025.01.03	01:00:00	2657.39	2658.95	2657.39	2658.74	524	0	22
2025.01.03	01:30:00	2658.77	2659.41	2657.79	2658.30	985	0	22
2025.01.03	02:00:00	2658.29	2661.23	2658.28	2659.57	1386	0	15
2025.01.03	02:30:00	2659.61	2660.86	2658.50	2660.51	1352	0	15
2025.01.03	03:00:00	2660.56	2662.48	2658.04	2658.73	3093	0	16
2025.01.03	03:30:00	2658.74	2660.12	2656.63	2659.36	2497	0	26
2025.01.03	04:00:00	2659.31	2663.98	2656.25	2659.27	3230	0	15
2025.01.03	04:30:00	2659.27	2663.02	2658.89	2662.41	2906	0	15
2025.01.03	05:00:00	2662.42	2665.22	2661.20	2663.53	3232	0	17
2025.01.03	05:30:00	2663.53	2663.65	2662.04	2662.28	1669	0	24
2025.01.03	06:00:00	2662.28	2664.43	2661.75	2664.05	1377	0	15
2025.01.03	06:30:00	2664.07	2664.25	2661.80	2662.86	1228	0	15
2025.01.03	07:00:00	2662.87	2662.94	2659.92	2660.47	2396	0	15
2025.01.03	07:30:00	2660.42	2660.42	2655.62	2658.48	3094	0	15
2025.01.03	08:00:00	2658.50	2660.03	2657.29	2657.38	1974	0	15
2025.01.03	08:30:00	2657.32	2660.32	2656.71	2659.73	2369	0	15
2025.01.03	09:00:00	2659.70	2659.70	2651.80	2652.73	3990	0	15
2025.01.03	09:30:00	2652.72	2656.09	2652.52	2654.34	3317	0	15
2025.01.03	10:00:00	2654.26	2655.82	2651.93	2652.56	4916	0	15
2025.01.03	10:30:00	2652.56	2653.70	2649.85	2652.93	3756	0	15
2025.01.03	11:00:00	2652.93	2655.92	2652.78	2653.92	4044	0	15
2025.01.03	11:30:00	2654.08	2655.89	2652.91	2653.60	2958	0	17
2025.01.03	12:00:00	2653.58	2657.34	2653.40	2656.19	2467	0	15
2025.01.03	12:30:00	2656.17	2657.99	2652.92	2657.72	2833	0	15
2025.01.03	13:00:00	2657.57	2659.28	2656.32	2656.84	3096	0	15
2025.01.03	13:30:00	2656.84	2658.67	2656.34	2657.59	2889	0	15
2025.01.03	14:00:00	2657.58	2658.25	2655.27	2655.69	2203	0	15
2025.01.03	14:30:00	2655.71	2657.43	2654.85	2655.30	2679	0	15
2025.01.03	15:00:00	2655.28	2656.32	2647.94	2649.47	5985	0	15
2025.01.03	15:30:00	2649.53	2651.42	2643.46	2649.94	6673	0	15
2025.01.03	16:00:00	2649.94	2650.29	2645.14	2649.16	8293	0	15
2025.01.03	16:30:00	2649.28	2652.68	2646.09	2647.66	7911	0	15
2025.01.03	17:00:00	2647.38	2648.28	2640.97	2642.39	10628	0	15
2025.01.03	17:30:00	2642.38	2646.15	2642.00	2643.87	7709	0	15
2025.01.03	18:00:00	2643.88	2647.25	2640.64	2641.28	7596	0	15
2025.01.03	18:30:00	2641.30	2643.50	2639.02	2639.94	4212	0	15
2025.01.03	19:00:00	2639.94	2642.60	2639.44	2641.77	4178	0	15
2025.01.03	19:30:00	2641.92	2642.24	2639.13	2641.77	4144	0	15
2025.01.03	20:00:00	2641.80	2642.22	2639.70	2641.20	4358	0	15
2025.01.03	20:30:00	2641.23	2642.29	2640.93	2641.83	2510	0	15
2025.01.03	21:00:00	2641.83	2642.94	2640.58	2641.24	1998	0	16
2025.01.03	21:30:00	2641.27	2642.14	2639.06	2639.47	2254	0	20
2025.01.03	22:00:00	2639.48	2640.09	2638.51	2639.29	2733	0	15
2025.01.03	22:30:00	2639.31	2639.69	2636.94	2638.17	2816	0	17
2025.01.03	23:00:00	2638.19	2638.61	2637.04	2637.58	770	0	15
2025.01.03	23:30:00	2637.58	2640.67	2636.47	2639.01	1006	0	28
2025.01.06	01:00:00	2641.15	2642.31	2638.85	2641.63	1141	0	29
2025.01.06	01:30:00	2641.63	2642.22	2640.32	2640.92	1327	0	18
2025.01.06	02:00:00	2640.99	2641.71	2638.58	2639.32	2307	0	18
2025.01.06	02:30:00	2639.32	2643.27	2638.86	2643.13	2664	0	19
2025.01.06	03:00:00	2643.18	2647.38	2640.70	2645.56	6026	0	15
2025.01.06	03:30:00	2645.45	2645.57	2641.21	2641.26	4454	0	15
2025.01.06	04:00:00	2641.27	2644.41	2639.72	2643.40	4457	0	15
2025.01.06	04:30:00	2643.39	2645.25	2642.92	2644.43	3513	0	16
2025.01.06	05:00:00	2644.41	2645.33	2640.76	2642.09	4010	0	15
2025.01.06	05:30:00	2642.09	2642.16	2639.12	2640.08	2350	0	19
2025.01.06	06:00:00	2640.07	2640.80	2635.01	2637.93	3527	0	15
2025.01.06	06:30:00	2637.93	2638.58	2634.42	2635.42	2367	0	15
2025.01.06	07:00:00	2635.39	2636.21	2634.18	2634.29	2974	0	15
2025.01.06	07:30:00	2634.30	2634.98	2631.45	2633.82	5353	0	15
2025.01.06	08:00:00	2633.82	2635.28	2630.74	2631.39	3195	0	15
2025.01.06	08:30:00	2631.44	2632.48	2630.20	2631.44	3744	0	15
2025.01.06	09:00:00	2631.42	2633.65	2630.17	2631.01	3459	0	15
2025.01.06	09:30:00	2631.01	2631.21	2625.09	2626.84	3442	0	15
2025.01.06	10:00:00	2626.84	2629.97	2625.76	2629.73	3876	0	15
2025.01.06	10:30:00	2629.76	2632.54	2627.30	2631.48	3562	0	15
2025.01.06	11:00:00	2631.39	2635.76	2631.16	2633.27	5262	0	15
2025.01.06	11:30:00	2633.23	2634.40	2631.58	2632.67	2137	0	15
2025.01.06	12:00:00	2632.67	2633.47	2631.20	2632.66	2713	0	15
2025.01.06	12:30:00	2632.68	2635.01	2630.93	2633.79	3041	0	15
2025.01.06	13:00:00	2633.80	2645.37	2632.55	2644.76	8734	0	15
2025.01.06	13:30:00	2644.82	2649.52	2643.20	2645.50	9971	0	15
2025.01.06	14:00:00	2645.49	2647.02	2642.26	2642.34	6072	0	15
