<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	2624.81	2625.63	2624.19	2624.65	460	0	43
2025.01.02	01:15:00	2624.67	2625.01	2623.35	2623.60	454	0	22
2025.01.02	01:30:00	2623.62	2623.85	2622.06	2622.10	467	0	15
2025.01.02	01:45:00	2621.80	2624.36	2621.57	2623.66	414	0	20
2025.01.02	02:00:00	2623.66	2626.19	2622.69	2625.70	687	0	18
2025.01.02	02:15:00	2625.70	2626.49	2625.14	2626.32	617	0	22
2025.01.02	02:30:00	2626.35	2627.52	2625.41	2626.94	588	0	21
2025.01.02	02:45:00	2626.95	2627.90	2625.35	2625.41	987	0	19
2025.01.02	03:00:00	2625.44	2630.82	2623.77	2629.55	3743	0	16
2025.01.02	03:15:00	2629.42	2632.93	2629.34	2632.56	2812	0	18
2025.01.02	03:30:00	2632.51	2634.42	2632.39	2633.49	2249	0	15
2025.01.02	03:45:00	2633.49	2633.52	2631.61	2632.99	2956	0	15
2025.01.02	04:00:00	2632.99	2634.80	2632.56	2634.58	2674	0	18
2025.01.02	04:15:00	2634.56	2636.49	2633.88	2635.57	1230	0	15
2025.01.02	04:30:00	2635.57	2635.77	2632.67	2633.47	3173	0	15
2025.01.02	04:45:00	2633.45	2635.34	2632.29	2634.74	3011	0	15
2025.01.02	05:00:00	2634.68	2635.36	2633.07	2633.10	2682	0	17
2025.01.02	05:15:00	2633.07	2634.76	2632.94	2633.41	2783	0	22
2025.01.02	05:30:00	2633.38	2634.23	2632.22	2633.37	2140	0	20
2025.01.02	05:45:00	2633.37	2633.80	2632.65	2633.57	910	0	15
2025.01.02	06:00:00	2633.58	2633.63	2632.13	2632.34	753	0	15
2025.01.02	06:15:00	2632.28	2633.17	2632.05	2632.39	783	0	16
2025.01.02	06:30:00	2632.37	2632.83	2631.97	2632.20	785	0	15
2025.01.02	06:45:00	2632.20	2634.22	2631.06	2633.98	1622	0	15
2025.01.02	07:00:00	2634.01	2634.34	2633.10	2633.35	1256	0	15
2025.01.02	07:15:00	2633.35	2635.33	2633.33	2634.90	1546	0	15
2025.01.02	07:30:00	2634.89	2636.43	2634.53	2634.96	2340	0	15
2025.01.02	07:45:00	2634.96	2635.29	2633.96	2634.05	1956	0	15
2025.01.02	08:00:00	2634.12	2634.12	2631.53	2631.76	1734	0	15
2025.01.02	08:15:00	2631.75	2634.43	2631.26	2634.26	1611	0	24
2025.01.02	08:30:00	2634.25	2634.59	2633.43	2634.05	1262	0	17
2025.01.02	08:45:00	2634.07	2635.37	2633.54	2634.14	1880	0	15
2025.01.02	09:00:00	2634.13	2635.05	2633.55	2634.32	2326	0	15
2025.01.02	09:15:00	2634.33	2635.91	2633.46	2634.31	1869	0	22
2025.01.02	09:30:00	2634.34	2634.38	2633.03	2633.66	1745	0	15
2025.01.02	09:45:00	2633.66	2635.99	2633.02	2635.98	1249	0	25
2025.01.02	10:00:00	2636.02	2637.02	2633.94	2635.15	2624	0	15
2025.01.02	10:15:00	2635.12	2635.20	2631.32	2633.30	1859	0	15
2025.01.02	10:30:00	2633.30	2636.87	2631.03	2636.18	1570	0	15
2025.01.02	10:45:00	2636.18	2637.75	2635.35	2636.48	1618	0	15
2025.01.02	11:00:00	2636.47	2639.91	2636.47	2638.25	2448	0	15
2025.01.02	11:15:00	2638.26	2639.92	2637.20	2637.48	1966	0	15
2025.01.02	11:30:00	2637.49	2638.39	2636.68	2637.13	1894	0	17
2025.01.02	11:45:00	2637.14	2637.99	2635.99	2636.08	2287	0	15
2025.01.02	12:00:00	2636.06	2638.91	2632.72	2638.86	2233	0	15
2025.01.02	12:15:00	2638.86	2646.33	2638.11	2644.87	2966	0	15
2025.01.02	12:30:00	2644.77	2645.71	2643.11	2643.95	2606	0	15
2025.01.02	12:45:00	2643.95	2644.12	2640.43	2642.71	2602	0	15
2025.01.02	13:00:00	2642.70	2644.57	2642.38	2644.17	1549	0	15
2025.01.02	13:15:00	2644.17	2644.39	2640.62	2641.75	1630	0	15
2025.01.02	13:30:00	2641.75	2642.71	2640.26	2642.14	1391	0	15
2025.01.02	13:45:00	2642.14	2642.59	2641.12	2642.04	1728	0	15
2025.01.02	14:00:00	2641.99	2642.93	2640.31	2641.07	1858	0	15
2025.01.02	14:15:00	2641.07	2643.23	2640.50	2642.78	1852	0	15
2025.01.02	14:30:00	2642.78	2645.21	2642.21	2644.30	2378	0	15
2025.01.02	14:45:00	2644.44	2646.49	2642.82	2643.35	3399	0	15
2025.01.02	15:00:00	2643.33	2643.33	2638.38	2638.53	5106	0	15
2025.01.02	15:15:00	2638.55	2641.03	2636.10	2640.91	3544	0	15
2025.01.02	15:30:00	2640.83	2640.99	2636.91	2639.24	4362	0	15
2025.01.02	15:45:00	2639.24	2647.27	2638.23	2643.03	4392	0	15
2025.01.02	16:00:00	2642.92	2646.89	2640.33	2646.89	4817	0	15
2025.01.02	16:15:00	2646.89	2649.13	2646.17	2646.32	4766	0	15
2025.01.02	16:30:00	2646.31	2650.18	2646.29	2649.15	6134	0	15
2025.01.02	16:45:00	2649.15	2651.13	2646.93	2647.73	4781	0	15
2025.01.02	17:00:00	2647.63	2649.66	2645.18	2648.54	6061	0	15
2025.01.02	17:15:00	2648.54	2649.65	2647.55	2648.72	4668	0	15
2025.01.02	17:30:00	2648.72	2653.69	2648.31	2652.01	4140	0	15
2025.01.02	17:45:00	2652.01	2655.91	2651.42	2654.08	5423	0	15
2025.01.02	18:00:00	2654.08	2654.43	2649.97	2653.63	4844	0	15
