<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	2624.81	2625.63	2621.57	2623.66	1795	0	15
2025.01.02	02:00:00	2623.66	2627.90	2622.69	2625.41	2879	0	18
2025.01.02	03:00:00	2625.44	2634.42	2623.77	2632.99	11760	0	15
2025.01.02	04:00:00	2632.99	2636.49	2632.29	2634.74	10088	0	15
2025.01.02	05:00:00	2634.68	2635.36	2632.22	2633.57	8515	0	15
2025.01.02	06:00:00	2633.58	2634.22	2631.06	2633.98	3943	0	15
2025.01.02	07:00:00	2634.01	2636.43	2633.10	2634.05	7098	0	15
2025.01.02	08:00:00	2634.12	2635.37	2631.26	2634.14	6487	0	15
2025.01.02	09:00:00	2634.13	2635.99	2633.02	2635.98	7189	0	15
2025.01.02	10:00:00	2636.02	2637.75	2631.03	2636.48	7671	0	15
2025.01.02	11:00:00	2636.47	2639.92	2635.99	2636.08	8595	0	15
2025.01.02	12:00:00	2636.06	2646.33	2632.72	2642.71	10407	0	15
2025.01.02	13:00:00	2642.70	2644.57	2640.26	2642.04	6298	0	15
2025.01.02	14:00:00	2641.99	2646.49	2640.31	2643.35	9487	0	15
2025.01.02	15:00:00	2643.33	2647.27	2636.10	2643.03	17404	0	15
2025.01.02	16:00:00	2642.92	2651.13	2640.33	2647.73	20498	0	15
2025.01.02	17:00:00	2647.63	2655.91	2645.18	2654.08	20292	0	15
2025.01.02	18:00:00	2654.08	2660.33	2649.97	2659.23	16564	0	15
2025.01.02	19:00:00	2659.23	2660.42	2652.51	2656.51	9946	0	15
2025.01.02	20:00:00	2656.52	2658.87	2653.81	2655.46	8302	0	15
2025.01.02	21:00:00	2655.46	2657.10	2653.72	2654.70	8219	0	15
2025.01.02	22:00:00	2654.70	2660.43	2654.14	2659.59	8527	0	15
2025.01.02	23:00:00	2659.61	2660.13	2656.50	2657.39	1709	0	15
2025.01.03	01:00:00	2657.39	2659.41	2657.39	2658.30	1509	0	22
2025.01.03	02:00:00	2658.29	2661.23	2658.28	2660.51	2738	0	15
2025.01.03	03:00:00	2660.56	2662.48	2656.63	2659.36	5590	0	16
2025.01.03	04:00:00	2659.31	2663.98	2656.25	2662.41	6136	0	15
2025.01.03	05:00:00	2662.42	2665.22	2661.20	2662.28	4901	0	17
2025.01.03	06:00:00	2662.28	2664.43	2661.75	2662.86	2605	0	15
2025.01.03	07:00:00	2662.87	2662.94	2655.62	2658.48	5490	0	15
2025.01.03	08:00:00	2658.50	2660.32	2656.71	2659.73	4343	0	15
2025.01.03	09:00:00	2659.70	2659.70	2651.80	2654.34	7307	0	15
2025.01.03	10:00:00	2654.26	2655.82	2649.85	2652.93	8672	0	15
2025.01.03	11:00:00	2652.93	2655.92	2652.78	2653.60	7002	0	15
2025.01.03	12:00:00	2653.58	2657.99	2652.92	2657.72	5300	0	15
2025.01.03	13:00:00	2657.57	2659.28	2656.32	2657.59	5985	0	15
2025.01.03	14:00:00	2657.58	2658.25	2654.85	2655.30	4882	0	15
2025.01.03	15:00:00	2655.28	2656.32	2643.46	2649.94	12658	0	15
2025.01.03	16:00:00	2649.94	2652.68	2645.14	2647.66	16204	0	15
2025.01.03	17:00:00	2647.38	2648.28	2640.97	2643.87	18337	0	15
2025.01.03	18:00:00	2643.88	2647.25	2639.02	2639.94	11808	0	15
2025.01.03	19:00:00	2639.94	2642.60	2639.13	2641.77	8322	0	15
2025.01.03	20:00:00	2641.80	2642.29	2639.70	2641.83	6868	0	15
2025.01.03	21:00:00	2641.83	2642.94	2639.06	2639.47	4252	0	16
2025.01.03	22:00:00	2639.48	2640.09	2636.94	2638.17	5549	0	15
2025.01.03	23:00:00	2638.19	2640.67	2636.47	2639.01	1776	0	15
2025.01.06	01:00:00	2641.15	2642.31	2638.85	2640.92	2468	0	18
2025.01.06	02:00:00	2640.99	2643.27	2638.58	2643.13	4971	0	18
2025.01.06	03:00:00	2643.18	2647.38	2640.70	2641.26	10480	0	15
2025.01.06	04:00:00	2641.27	2645.25	2639.72	2644.43	7970	0	15
2025.01.06	05:00:00	2644.41	2645.33	2639.12	2640.08	6360	0	15
2025.01.06	06:00:00	2640.07	2640.80	2634.42	2635.42	5894	0	15
2025.01.06	07:00:00	2635.39	2636.21	2631.45	2633.82	8327	0	15
2025.01.06	08:00:00	2633.82	2635.28	2630.20	2631.44	6939	0	15
2025.01.06	09:00:00	2631.42	2633.65	2625.09	2626.84	6901	0	15
2025.01.06	10:00:00	2626.84	2632.54	2625.76	2631.48	7438	0	15
2025.01.06	11:00:00	2631.39	2635.76	2631.16	2632.67	7399	0	15
2025.01.06	12:00:00	2632.67	2635.01	2630.93	2633.79	5754	0	15
2025.01.06	13:00:00	2633.80	2649.52	2632.55	2645.50	18705	0	15
2025.01.06	14:00:00	2645.49	2647.81	2641.88	2645.41	11104	0	15
2025.01.06	15:00:00	2645.39	2648.76	2621.92	2624.15	20350	0	15
2025.01.06	16:00:00	2624.16	2634.85	2614.49	2631.55	28490	0	15
2025.01.06	17:00:00	2631.58	2639.59	2629.46	2634.36	23093	0	15
2025.01.06	18:00:00	2634.36	2641.25	2632.49	2640.71	13466	0	15
2025.01.06	19:00:00	2640.72	2641.01	2634.18	2636.66	9909	0	15
2025.01.06	20:00:00	2636.68	2638.63	2633.76	2634.63	9868	0	15
2025.01.06	21:00:00	2634.64	2635.52	2632.88	2634.35	8148	0	15
2025.01.06	22:00:00	2634.37	2635.49	2633.17	2634.48	5483	0	15
2025.01.06	23:00:00	2634.54	2636.98	2634.54	2635.67	1524	0	16
2025.01.07	01:00:00	2635.98	2636.17	2633.25	2634.57	1306	0	15
2025.01.07	02:00:00	2634.57	2635.11	2632.94	2635.05	3205	0	18
2025.01.07	03:00:00	2634.98	2641.13	2634.77	2638.97	11302	0	15
2025.01.07	04:00:00	2638.97	2640.08	2636.95	2638.58	6674	0	15
2025.01.07	05:00:00	2638.53	2640.29	2637.53	2639.56	3615	0	15
2025.01.07	06:00:00	2639.55	2639.73	2637.31	2638.28	3950	0	15
2025.01.07	07:00:00	2638.22	2645.55	2637.04	2644.35	7979	0	15
